username,phone,email,companyName,location,industryType,experienceLevel,businessSize,businessStage,skills_,skills_Emotional Intelligence,skills_Innovation,skills_Logistics,skills_Management,skills_Marketing,skills_Networking,skills_Problem Solving,skills_Product Development,businessGoals_,businessGoals_Customer Acquisition,businessGoals_Innovation,businessGoals_Market Expansion,businessGoals_Product Launch,businessGoals_Service Development,preferredPartnerIndustry_,preferredPartnerIndustry_Agriculture,preferredPartnerIndustry_E-commerce,preferredPartnerIndustry_Finance,preferredPartnerIndustry_Healthcare,preferredPartnerIndustry_Logistics,preferredPartnerIndustry_Management,preferredPartnerIndustry_Manufacturing,preferredPartnerIndustry_Retail,preferredPartnerIndustry_Technology,preferredPartnerIndustry_Tourism,industryType_Agriculture,industryType_E-commerce,industryType_Finance,industryType_Healthcare,industryType_Logistics,industryType_Management,industryType_Manufacturing,industryType_Retail,industryType_Technology,industryType_Tourism,industryType_nan,experienceLevel_Expert,experienceLevel_Intermediate,experienceLevel_Novice,experienceLevel_nan,businessSize_Large Enterprise,businessSize_Medium Enterprise,businessSize_Micro Business,businessSize_Small Business,businessSize_Solo,businessSize_nan,location_Banglore,location_Chennai,location_Delhi,location_Goa,location_Hyderabad,location_Kolkata,location_Mumbai,location_Mysore,location_Pondicherry,location_Pune,location_nan,businessStage_Growth,businessStage_Mature,businessStage_Startup,businessStage_nan,connectionsMade,partnershipSuccessful,Cluster
Kallol Banerjee,7653212830.0,hello@wowmomo.in,Wow! Momo,Pune,Agriculture,Intermediate,Small Business,Growth,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0936779672805981,-0.6175135279477231,2
Ankur Agarwal,9681459618.0,support@letstransport.in,LetsTransport,Mysore,Tourism,Intermediate,Solo,Growth,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.019741134383519855,-1.3526486802664413,2
Madhur Sinha,7745562904.0,support@kissht.com,Kissht,Mumbai,Technology,Novice,Small Business,Growth,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.16761480017767635,-1.3526486802664413,2
Geetansh Bamania,9681611793.0,support@rentomojo.com,RentoMojo,Hyderabad,E-commerce,Intermediate,Medium Enterprise,Growth,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.4615093758765458,-1.3526486802664413,2
Dr. Satyajit Rath,9634015099.0,info@medgenome.com,MedGenome,Hyderabad,Finance,Intermediate,Medium Enterprise,Growth,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.27852004952329373,0.117621624370995,2
Richa Kar,9856789379.0,care@zivame.com,Zivame.com,Mumbai,Technology,Intermediate,Medium Enterprise,Growth,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0918252113911546,-0.6175135279477231,2
Virendra Gupta,7479994095.0,contact@verse.in,VerSe Innovation,Banglore,Healthcare,Intermediate,Medium Enterprise,Growth,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7591094633543024,-1.3526486802664413,2
Sumit Gupta,7493713405.0,support@coindcx.com,CoinDCX,Hyderabad,E-commerce,Intermediate,Medium Enterprise,Growth,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3154884659718329,0.117621624370995,2
Vaibhav Agarwal,9413417609.0,contact@fabhotels.com,Fabhotels,Kolkata,Agriculture,Intermediate,Medium Enterprise,Mature,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.38942529886891114,0.8527567766897132,2
Adhil Shetty,9569183473.0,contactus@bankbazaar.com,BankBazaar.com,Hyderabad,E-commerce,Intermediate,Medium Enterprise,Growth,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0178883784940762,0.117621624370995,2
Anshul Gupta,8848654132.0,support@happay.in,Happay,Mumbai,Management,Intermediate,Medium Enterprise,Growth,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.793564027484341,0.117621624370995,2
Karthik Hegde,7283790054.0,info@loadshare.in,Loadshare,Hyderabad,Finance,Intermediate,Small Business,Growth,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9809199620455371,-0.6175135279477231,2
Amit Kumar,7261405319.0,support@gradeup.co,Gradeup,Banglore,E-commerce,Intermediate,Medium Enterprise,Growth,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.27852004952329373,0.117621624370995,2
Nitya Sharma,7810545993.0,support@simpl.com,Simpl,Goa,Tourism,Intermediate,Medium Enterprise,Growth,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6851726304572241,0.117621624370995,2
Kunal Shah,8279138944.0,support@freecharge.in,FreeCharge,Kolkata,Agriculture,Expert,Large Enterprise,Growth,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3875725429794676,-1.3526486802664413,2
Sandeep Agarwal,8324167054.0,support@shopclues.com,ShopClues,Banglore,Manufacturing,Intermediate,Small Business,Growth,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0918252113911546,0.117621624370995,2
Sameer Maheshwari,7234572493.0,support@healthkart.com,Healthkart,Hyderabad,Healthcare,Intermediate,Medium Enterprise,Growth,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.793564027484341,0.117621624370995,2
Sandeep Aggarwal,7723418358.0,support@droom.in,Droom,Mumbai,E-commerce,Intermediate,Medium Enterprise,Growth,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0178883784940762,0.117621624370995,2
"Amit Raj, Anshul Gupta",7166481003.0,support@box8.in,Box8,Hyderabad,Technology,Intermediate,Medium Enterprise,Growth,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.27852004952329373,-0.6175135279477231,2
Swati Bhargava,7101187182.0,support@cashkaro.com,Cashkaro,Mumbai,Retail,Intermediate,Micro Business,Growth,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0548567949426153,0.117621624370995,2
Jitendra Gupta,7275442823.0,contact@jupiter.money,Jupiter,Chennai,Agriculture,Expert,Large Enterprise,Mature,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.3875725429794676,0.117621624370995,2
Amit Sharma,9457716441.0,contact@shopx.in,ShopX,Delhi,Technology,Expert,Large Enterprise,Mature,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9809199620455371,0.117621624370995,3
Raman Bhatia,9038685308.0,contact@loconav.com,LocoNav,Mumbai,Manufacturing,Intermediate,Medium Enterprise,Growth,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.4608482794474888,0.117621624370995,2
Srinath Sridhar,8280533329.0,info@avataar.me,Avataar.Me,Mysore,Tourism,Expert,Small Business,Startup,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0178883784940762,0.117621624370995,5
Ashok Reddy,7095716093.0,info@blusmart.in,BluSmart Mobility,Pondicherry,Management,Intermediate,Medium Enterprise,Startup,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2766672936338501,0.117621624370995,2
Sandeep Sharma,9231537724.0,contact@sleepycatbeds.com,SleepyCat,Chennai,Retail,Novice,Small Business,Growth,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.648204214008685,0.117621624370995,2
Ashish Kashyap,8287236914.0,support@indwealth.in,INDwealth,Hyderabad,Healthcare,Intermediate,Medium Enterprise,Mature,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.648204214008685,-1.3526486802664413,2
Sanjeev Agarwal,9575550945.0,contact@shipsy.in,Shipsy,Banglore,E-commerce,Intermediate,Medium Enterprise,Growth,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.4608482794474888,0.117621624370995,2
Devika,8608942502.0,devikatransport@gmail.com,Devika Transport,Goa,Retail,Novice,Medium Enterprise,Startup,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.23903778075625404,0.8527567766897132,4
Rakesh,8084205884.0,rakesh@gmail.com,blackrock,Banglore,Technology,Intermediate,Medium Enterprise,Mature,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.4608482794474888,-0.6175135279477231,0
Amrish,9436517385.0,amrish@gmail.com,myprobuilders,Chennai,Management,Intermediate,Medium Enterprise,Startup,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9809199620455371,0.117621624370995,2
Deepak,8220284127.0,deepak@gmail.com,eroncei,Kolkata,Finance,Intermediate,Medium Enterprise,Startup,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.13064638372913723,1.5878919290084312,5
Subramanian,8955294226.0,subramanian@gmail.com,coal industry,Pondicherry,Agriculture,Intermediate,Small Business,Startup,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.3506041265309283,-1.3526486802664413,1
